# 起重机额定载荷表配置文件
# 自动生成于: 2026-04-03
#
# 说明：
# 本文件定义了不同臂长和工作幅度下的额定载荷值
# 系统根据臂长和工作幅度查询对应的额定载荷，用于计算力矩百分比
#
# 公式：
# - 工作幅度(working_radius) = 臂长(boom_length) × cos(臂角(boom_angle))
# - 力矩百分比 = (当前载荷 × 工作幅度) / (额定载荷 × 工作幅度) × 100%
#
# 查询规则（阶梯查找）：
# 1. 找到最接近的臂长
# 2. 在该臂长下，找到第一个 >= 工作幅度的表项
# 3. 如果工作幅度超过所有条目，返回最后一项的额定载荷
#
# 示例：
# - 臂长20m，角度0°（水平）-> 工作幅度=20m -> 查询20m对应的8.0吨
# - 臂长20m，角度60° -> 工作幅度=20×cos(60°)=10m -> 查询10m对应的25.0吨
#
# 新格式（3列）：boom_length_m,working_radius_m,rated_load_ton
#
# 注意事项：
# 1. 表项必须按臂长和工作幅度升序排列
# 2. 同一臂长下的工作幅度必须升序
# 3. 臂长单位：米（m）
# 4. 工作幅度单位：米（m）
# 5. 额定载荷单位：吨（ton）

# ========== 力矩阈值配置 ==========
moment_warning_threshold,85.0
moment_alarm_threshold,95.0

# ========== 额定载荷表数据 ==========
# 格式：臂长（米），工作幅度（米），额定载荷（吨）
boom_length_m,working_radius_m,rated_load_ton

# 臂长 10.0 米
10.0,3.0,50.0
10.0,5.0,40.0
10.0,8.0,30.0

# 臂长 15.0 米
15.0,3.0,48.0
15.0,5.0,38.0
15.0,8.0,28.0
15.0,10.0,22.0

# 臂长 20.0 米（默认/标准臂长）
20.0,3.0,50.0
20.0,5.0,40.0
20.0,8.0,30.0
20.0,10.0,25.0
20.0,12.0,20.0
20.0,15.0,15.0
20.0,18.0,10.0
20.0,20.0,8.0

# 臂长 25.0 米
25.0,3.0,52.0
25.0,5.0,42.0
25.0,8.0,32.0
25.0,10.0,28.0
25.0,12.0,23.0
25.0,15.0,18.0
25.0,18.0,12.0
25.0,20.0,10.0
25.0,22.0,8.0
